City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ribeira Grande,PT,38.5167,-28.7,61.5,85,80,26.98,broken clouds
80,Norman Wells,CA,65.282,-126.8329,-2.2,60,75,4.61,broken clouds
81,Chokurdakh,RU,70.6333,147.9167,-18.53,90,0,4.16,clear sky
82,Nakamura,JP,32.9833,132.9333,49.6,72,0,6.2,clear sky
83,Noyabrsk,RU,63.1994,75.4507,8.28,94,95,13.0,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,36.0,87,75,6.71,snow
85,Ibra,OM,22.6906,58.5334,61.77,58,0,1.21,clear sky
86,Bethel,US,41.3712,-73.414,46.4,21,1,13.8,clear sky
87,Laguna De Duero,ES,41.5815,-4.7233,46.99,75,0,8.05,clear sky
88,Nagorsk,RU,59.3172,50.8078,12.61,91,100,11.52,overcast clouds
89,Lhokseumawe,ID,5.1801,97.1507,76.44,75,21,4.63,few clouds
90,Ravar,IR,31.2656,56.8055,43.61,59,0,2.91,clear sky
91,Lebu,CL,-37.6167,-73.65,58.71,79,0,8.79,clear sky
92,Pacific Grove,US,36.6177,-121.9166,55.0,75,36,7.0,scattered clouds
93,Victoria,HK,22.2855,114.1577,69.01,84,55,12.84,broken clouds
94,Cradock,ZA,-32.1642,25.6192,72.84,41,40,5.23,scattered clouds
95,Dipolog,PH,8.5894,123.3414,77.38,87,63,5.14,broken clouds
96,Kousseri,CM,12.0769,15.0306,87.8,22,31,2.3,scattered clouds
97,East London,ZA,-33.0153,27.9116,77.49,66,41,13.18,scattered clouds
98,Abashiri,JP,44.0213,144.2697,34.0,75,100,3.0,overcast clouds
99,Banjar,ID,-8.19,114.9675,77.0,94,75,5.75,broken clouds
100,Kruisfontein,ZA,-34.0033,24.7314,69.01,76,84,1.99,broken clouds
101,Makakilo City,US,21.3469,-158.0858,78.8,65,75,10.36,broken clouds
102,Carnarvon,AU,-24.8667,113.6333,80.6,74,2,9.22,clear sky
103,Mahebourg,MU,-20.4081,57.7,80.6,83,40,6.91,light rain
104,Zhezkazgan,KZ,47.8043,67.7144,2.1,74,100,17.4,overcast clouds
105,Avera,US,33.194,-82.5271,78.8,47,75,6.91,broken clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,73.0,56,1,11.5,clear sky
107,Rudnya,RU,54.947,31.0934,32.7,96,98,9.19,overcast clouds
108,Barraute,CA,48.4335,-77.6328,19.4,86,90,11.5,light snow
109,Butterworth,MY,5.3991,100.3638,78.01,88,20,5.28,few clouds
110,Morondava,MG,-20.2833,44.2833,77.54,66,0,8.28,clear sky
111,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,12.66,heavy intensity rain
112,Peniche,PT,39.3558,-9.3811,53.01,81,0,5.99,clear sky
113,Aklavik,CA,68.2191,-135.0107,-4.0,59,1,4.61,clear sky
114,Qaanaaq,GL,77.484,-69.3632,-2.47,63,99,7.43,overcast clouds
115,Pozo Colorado,PY,-23.4923,-58.7972,88.65,35,99,3.53,moderate rain
116,Bredasdorp,ZA,-34.5322,20.0403,64.4,94,11,3.44,few clouds
117,Bonn,DE,50.7333,7.1,39.99,81,40,16.11,scattered clouds
118,Tansen,NP,27.8673,83.5467,53.15,42,0,4.99,clear sky
119,Bogandinskiy,RU,56.8937,65.8938,6.8,61,0,11.18,clear sky
120,Moron,AR,-34.6534,-58.6198,77.0,42,0,1.99,clear sky
121,Ponta Do Sol,PT,32.6667,-17.1,57.99,72,99,1.01,overcast clouds
122,Port Hardy,CA,50.6996,-127.4199,46.4,76,90,24.16,light rain
123,Esperance,AU,-33.8667,121.9,46.4,87,49,5.75,scattered clouds
124,Flin Flon,CA,54.7682,-101.865,33.8,40,20,9.22,few clouds
125,Kodiak,US,57.79,-152.4072,33.8,29,1,18.41,clear sky
126,Paita,PE,-5.0892,-81.1144,84.2,65,0,10.36,clear sky
127,Marfino,RU,55.7028,37.3822,28.99,86,90,11.18,light snow
128,Dikson,RU,73.5069,80.5464,-22.43,97,100,15.93,overcast clouds
129,Hasaki,JP,35.7333,140.8333,52.0,58,40,11.5,scattered clouds
130,Upernavik,GL,72.7868,-56.1549,-6.45,95,24,5.88,few clouds
131,Yerbogachen,RU,61.2767,108.0108,-2.06,96,36,7.7,scattered clouds
132,Yellowknife,CA,62.456,-114.3525,0.0,60,90,5.75,overcast clouds
133,Lasa,IT,46.6166,10.7002,46.0,75,0,4.61,clear sky
134,Hovd,MN,48.0056,91.6419,16.84,25,100,8.37,overcast clouds
135,San Miguel,SV,13.4833,-88.1833,98.6,34,40,2.3,scattered clouds
136,Muros,ES,42.7762,-9.0603,46.99,93,3,3.0,clear sky
137,Bluff,NZ,-46.6,168.3333,69.01,52,3,13.0,clear sky
138,Margate,GB,51.3813,1.3862,42.01,68,72,1.99,broken clouds
139,Bosaso,SO,11.2842,49.1816,76.37,76,0,5.82,clear sky
140,Hambantota,LK,6.1241,81.1185,77.05,83,50,11.56,scattered clouds
141,Komsomolskiy,UZ,40.4272,71.7189,44.6,76,90,46.04,moderate rain
142,Suntar,RU,62.1444,117.6319,3.4,94,36,6.2,scattered clouds
